DatefirstseenSrcIPAddrDstIPAddrInByteOutByte
2020-02-2511:21:57.850,192.168.250.3,23.226.231.226,572,0
2020-02-2511:31:18.540,192.168.250.3,141.8.183.203,18469,0
2020-02-2511:31:18.540,141.8.183.203,217.15.20.194,1923,0
2020-02-2511:31:19.520,192.168.250.3,141.8.142.178,13095,0
2020-02-2511:31:19.520,141.8.142.178,217.15.20.194,1264,0
2020-02-2511:31:26.000,23.226.231.226,217.15.20.194,80,0
2020-02-2511:09:16.360,23.226.231.226,217.15.20.194,240,0
2020-02-2511:28:49.640,52.114.75.78,217.15.20.194,7599,0
2020-02-2511:31:29.650,192.168.250.50,13.107.3.128,1601,0
2020-02-2511:31:29.650,192.168.250.50,192.168.250.1,120,0
2020-02-2511:31:29.650,192.168.250.1,192.168.250.50,1070,0
2020-02-2511:31:29.650,192.168.250.50,192.168.250.1,298,0
2020-02-2511:31:29.650,192.168.250.1,192.168.250.50,749,0
2020-02-2511:31:00.270,192.168.250.3,23.226.231.226,308,0
2020-02-2511:31:31.820,192.168.250.50,192.168.250.1,152,0
